襲撃する,6225
確定する,5416
考察する,5408
確認する,5406
発言する,4916
判断する,4899
希望する,4188
質問する,3821
理解する,3231
期待する,2891
反対する,2646
指摘する,2408
納得する,2387
説明する,2319
考慮する,2062
潜伏する,1899
主張する,1870
精査する,1753
一貫する,1628
放置する,1562
回避する,1493
撤回する,1468
投票する,1433
混乱する,1418
想定する,1327
反応する,1310
予想する,1303
了解する,1297
仮定する,1288
提出する,1283
回答する,1281
説得する,1276
変更する,1258
優先する,1241
提案する,1209
把握する,1134
開示する,1117
言及する,1107
否定する,1098
相談する,1069
対話する,1023
宣言する,948
重視する,937
安心する,934
提示する,919
意識する,906
信用する,894
明言する,877
検討する,872
勘違いする,862
利用する,857
無視する,855
警戒する,853
護衛する,843
推理する,778
懸念する,773
整理する,764
注目する,760
同意する,760
用意する,741
誘導する,731
矛盾する,718
判明する,714
確信する,706
評価する,701
消費する,650
対抗する,650
失敗する,649
心配する,645
追従する,642
失礼する,600
一致する,595
処理する,594
比較する,585
注視する,583
解釈する,581
加味する,576
破壊する,573
共感する,529
賛成する,525
反映する,521
投下する,513
発表する,511
決定する,502
解消する,492
保留する,483
反論する,470
参加する,467
集中する,451
認識する,444
注意する,423
自覚する,418
想像する,411
仕事する,410
会話する,410
議論する,398
指定する,397
集計する,386
発生する,386
破綻する,376
行動する,375
反省する,371
誤解する,365
返答する,365
停止する,364
完遂する,362
成功する,360
計算する,357
邪推する,356
補足する,354
誤認する,352
統一する,350
感謝する,346
対応する,340
除外する,333
継続する,332
偽装する,332
勘弁する,321
選択する,315
訂正する,314
証明する,309
表現する,309
検証する,306
補完する,302
変化する,302
後悔する,298
生存する,296
追加する,295
解決する,293
信頼する,290
擁護する,290
推測する,287
存在する,286
応援する,277
影響する,269
準備する,266
操作する,266
合致する,266
努力する,265
協力する,261
尊重する,257
温存する,252
再考する,251
飽和する,241
総合する,236
進行する,233
指示する,232
強調する,227
判定する,223
成立する,223
放棄する,220
解除する,217
覚悟する,217
回収する,215
勝負する,214
便乗する,213
攻撃する,209
表明する,208
許容する,207
下手する,206
更新する,205
率先する,200
失速する,200
思考する,198
終了する,197
懐柔する,196
解説する,194
採用する,193
貢献する,192
展開する,191
離脱する,189
修正する,186
賛同する,185
拮抗する,183
追求する,181
独断する,179
分析する,177
実行する,177
固執する,176
