お願いする,11495
確認する,10787
考察する,10770
襲撃する,11518
確定する,10669
発言する,9746
判断する,9425
希望する,8110
質問する,7320
理解する,6038
期待する,5611
反対する,5050
説明する,4489
納得する,4527
指摘する,4547
考慮する,4146
潜伏する,3863
精査する,3379
主張する,3487
回避する,3055
撤回する,2927
放置する,2986
了解する,2670
想定する,2677
混乱する,2719
一貫する,2922
反応する,2545
仮定する,2505
投票する,2633
回答する,2478
提案する,2381
把握する,2300
提出する,2443
優先する,2400
開示する,2261
変更する,2396
安心する,2041
予想する,2339
言及する,2106
相談する,2025
説得する,2223
否定する,2036
宣言する,1885
ロックする,1839
対話する,1947
護衛する,1752
勘違いする,1747
意識する,1779
信用する,1715
提示する,1706
利用する,1642
推理する,1556
無視する,1618
注目する,1521
重視する,1697
用意する,1488
検討する,1612
警戒する,1592
整理する,1498
懸念する,1480
明言する,1574
矛盾する,1400
処理する,1275
誘導する,1400
対抗する,1304
評価する,1355
同意する,1407
確信する,1346
消費する,1266
心配する,1256
スライドする,1266
判明する,1305
追従する,1224
注視する,1162
参加する,1045
発表する,1087
共感する,1074
一致する,1133
解釈する,1108
Noneする,1086
失敗する,1163
失礼する,1113
比較する,1089
加味する,1078
破壊する,1067
集中する,913
決定する,963
びっくりする,975
注意する,879
投下する,963
指定する,844
自覚する,859
賛成する,947
反映する,934
認識する,846
想像する,810
解消する,887
成功する,750
保留する,870
破綻する,759
仕事する,789
反論する,846
発生する,757
誤認する,719
計算する,723
議論する,763
フォローする,728
反省する,731
行動する,735
邪推する,711
対応する,695
会話する,764
感謝する,688
停止する,701
補足する,690
証明する,642
お話する,601
集計する,713
誤解する,691
完遂する,672
選択する,617
変化する,604
補完する,603
訂正する,615
生存する,597
ミスする,630
努力する,557
存在する,577
リードする,630
追加する,583
返答する,646
除外する,613
統一する,630
応援する,556
偽装する,610
温存する,528
継続する,606
回収する,484
解決する,561
尊重する,518
推測する,547
勘弁する,576
検証する,560
思考する,451
後悔する,550
準備する,516
協力する,509
アピールする,473
影響する,507
表現する,545
擁護する,525
貢献する,427
修正する,419
指示する,462
飽和する,467
